"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Back + Bis + Abs (Operation Dirty Thirty)","16 May 2025, 16:13","16 May 2025, 16:54","took it easy today, had a rough morning","Seated Row (Machine)",,"",0,"normal",90,15,,,
"Back + Bis + Abs (Operation Dirty Thirty)","16 May 2025, 16:13","16 May 2025, 16:54","took it easy today, had a rough morning","Seated Row (Machine)",,"",1,"normal",100,15,,,
"Back + Bis + Abs (Operation Dirty Thirty)","16 May 2025, 16:13","16 May 2025, 16:54","took it easy today, had a rough morning","Seated Row (Machine)",,"",2,"normal",110,13,,,
"Back + Bis + Abs (Operation Dirty Thirty)","16 May 2025, 16:13","16 May 2025, 16:54","took it easy today, had a rough morning","Seated Row (Machine)",,"",3,"normal",110,10,,,
"Back + Bis + Abs (Operation Dirty Thirty)","16 May 2025, 16:13","16 May 2025, 16:54","took it easy today, had a rough morning","Single Arm Cable Row",,"",0,"normal",160,12,,,
"Back + Bis + Abs (Operation Dirty Thirty)","16 May 2025, 16:13","16 May 2025, 16:54","took it easy today, had a rough morning","Single Arm Cable Row",,"",1,"normal",160,12,,,
"Back + Bis + Abs (Operation Dirty Thirty)","16 May 2025, 16:13","16 May 2025, 16:54","took it easy today, had a rough morning","Face Pull",,"",0,"normal",70,16,,,
"Back + Bis + Abs (Operation Dirty Thirty)","16 May 2025, 16:13","16 May 2025, 16:54","took it easy today, had a rough morning","Face Pull",,"",1,"normal",80,15,,,
"Back + Bis + Abs (Operation Dirty Thirty)","16 May 2025, 16:13","16 May 2025, 16:54","took it easy today, had a rough morning","Face Pull",,"",2,"normal",75,13,,,
"Back + Bis + Abs (Operation Dirty Thirty)","16 May 2025, 16:13","16 May 2025, 16:54","took it easy today, had a rough morning","Bicep Curl (Dumbbell)",,"",0,"normal",50,10,,,
"Back + Bis + Abs (Operation Dirty Thirty)","16 May 2025, 16:13","16 May 2025, 16:54","took it easy today, had a rough morning","Bicep Curl (Dumbbell)",,"",1,"normal",50,10,,,
"Back + Bis + Abs (Operation Dirty Thirty)","16 May 2025, 16:13","16 May 2025, 16:54","took it easy today, had a rough morning","Bicep Curl (Dumbbell)",,"",2,"normal",50,10,,,
"Back + Bis + Abs (Operation Dirty Thirty)","16 May 2025, 16:13","16 May 2025, 16:54","took it easy today, had a rough morning","Reverse Crunch",,"",0,"normal",,25,,,
"Back + Bis + Abs (Operation Dirty Thirty)","16 May 2025, 16:13","16 May 2025, 16:54","took it easy today, had a rough morning","Reverse Crunch",,"",1,"normal",,20,,,
"Heavy Bench: Hypertrophy Phase (Operation Dirty Thirty)","15 May 2025, 13:49","15 May 2025, 14:49","hit a 235 5x5 on bench, then a shit ton more bench after that","Bench Press (Barbell)",,"5x5",0,"warmup",135,10,,,
"Heavy Bench: Hypertrophy Phase (Operation Dirty Thirty)","15 May 2025, 13:49","15 May 2025, 14:49","hit a 235 5x5 on bench, then a shit ton more bench after that","Bench Press (Barbell)",,"5x5",1,"warmup",185,6,,,
"Heavy Bench: Hypertrophy Phase (Operation Dirty Thirty)","15 May 2025, 13:49","15 May 2025, 14:49","hit a 235 5x5 on bench, then a shit ton more bench after that","Bench Press (Barbell)",,"5x5",2,"normal",235,5,,,
"Heavy Bench: Hypertrophy Phase (Operation Dirty Thirty)","15 May 2025, 13:49","15 May 2025, 14:49","hit a 235 5x5 on bench, then a shit ton more bench after that","Bench Press (Barbell)",,"5x5",3,"normal",235,5,,,
"Heavy Bench: Hypertrophy Phase (Operation Dirty Thirty)","15 May 2025, 13:49","15 May 2025, 14:49","hit a 235 5x5 on bench, then a shit ton more bench after that","Bench Press (Barbell)",,"5x5",4,"normal",235,5,,,
"Heavy Bench: Hypertrophy Phase (Operation Dirty Thirty)","15 May 2025, 13:49","15 May 2025, 14:49","hit a 235 5x5 on bench, then a shit ton more bench after that","Bench Press (Barbell)",,"5x5",5,"normal",235,5,,,
"Heavy Bench: Hypertrophy Phase (Operation Dirty Thirty)","15 May 2025, 13:49","15 May 2025, 14:49","hit a 235 5x5 on bench, then a shit ton more bench after that","Bench Press (Barbell)",,"5x5",6,"normal",235,5,,,
"Heavy Bench: Hypertrophy Phase (Operation Dirty Thirty)","15 May 2025, 13:49","15 May 2025, 14:49","hit a 235 5x5 on bench, then a shit ton more bench after that","Bench Press - Close Grip (Barbell)",,"",0,"normal",205,8,,,
"Heavy Bench: Hypertrophy Phase (Operation Dirty Thirty)","15 May 2025, 13:49","15 May 2025, 14:49","hit a 235 5x5 on bench, then a shit ton more bench after that","Bench Press - Close Grip (Barbell)",,"",1,"normal",190,8,,,
"Heavy Bench: Hypertrophy Phase (Operation Dirty Thirty)","15 May 2025, 13:49","15 May 2025, 14:49","hit a 235 5x5 on bench, then a shit ton more bench after that","Bench Press - Close Grip (Barbell)",,"",2,"normal",190,8,,,
"Heavy Bench: Hypertrophy Phase (Operation Dirty Thirty)","15 May 2025, 13:49","15 May 2025, 14:49","hit a 235 5x5 on bench, then a shit ton more bench after that","Bench Press - Close Grip (Barbell)",,"",3,"normal",190,8,,,
"Heavy Bench: Hypertrophy Phase (Operation Dirty Thirty)","15 May 2025, 13:49","15 May 2025, 14:49","hit a 235 5x5 on bench, then a shit ton more bench after that","Chest Supported Incline Row (Dumbbell)",,"",0,"normal",80,10,,,
"Heavy Bench: Hypertrophy Phase (Operation Dirty Thirty)","15 May 2025, 13:49","15 May 2025, 14:49","hit a 235 5x5 on bench, then a shit ton more bench after that","Chest Supported Incline Row (Dumbbell)",,"",1,"normal",80,10,,,
"Heavy Bench: Hypertrophy Phase (Operation Dirty Thirty)","15 May 2025, 13:49","15 May 2025, 14:49","hit a 235 5x5 on bench, then a shit ton more bench after that","Chest Supported Incline Row (Dumbbell)",,"",2,"normal",80,10,,,
"Heavy Bench: Hypertrophy Phase (Operation Dirty Thirty)","15 May 2025, 13:49","15 May 2025, 14:49","hit a 235 5x5 on bench, then a shit ton more bench after that","Chest Supported Incline Row (Dumbbell)",,"",3,"normal",80,10,,,
"Heavy Bench: Hypertrophy Phase (Operation Dirty Thirty)","15 May 2025, 13:49","15 May 2025, 14:49","hit a 235 5x5 on bench, then a shit ton more bench after that","Overhead Press (Dumbbell)",,"this is diabolical so late in the workout",0,"normal",100,10,,,
"Heavy Bench: Hypertrophy Phase (Operation Dirty Thirty)","15 May 2025, 13:49","15 May 2025, 14:49","hit a 235 5x5 on bench, then a shit ton more bench after that","Overhead Press (Dumbbell)",,"this is diabolical so late in the workout",1,"normal",100,10,,,
"Heavy Bench: Hypertrophy Phase (Operation Dirty Thirty)","15 May 2025, 13:49","15 May 2025, 14:49","hit a 235 5x5 on bench, then a shit ton more bench after that","Overhead Press (Dumbbell)",,"this is diabolical so late in the workout",2,"normal",100,10,,,
"Heavy Bench: Hypertrophy Phase (Operation Dirty Thirty)","15 May 2025, 13:49","15 May 2025, 14:49","hit a 235 5x5 on bench, then a shit ton more bench after that","Triceps Rope Pushdown",,"ouch",0,"normal",45,15,,,
"Heavy Bench: Hypertrophy Phase (Operation Dirty Thirty)","15 May 2025, 13:49","15 May 2025, 14:49","hit a 235 5x5 on bench, then a shit ton more bench after that","Triceps Rope Pushdown",,"ouch",1,"normal",45,15,,,
"Heavy Bench: Hypertrophy Phase (Operation Dirty Thirty)","15 May 2025, 13:49","15 May 2025, 14:49","hit a 235 5x5 on bench, then a shit ton more bench after that","Triceps Rope Pushdown",,"ouch",2,"normal",40,15,,,
"back and legs (rt315b)","14 May 2025, 13:55","14 May 2025, 14:41","","Romanian Deadlift (Barbell)",,"lower back rehab",0,"normal",135,12,,,
"back and legs (rt315b)","14 May 2025, 13:55","14 May 2025, 14:41","","Romanian Deadlift (Barbell)",,"lower back rehab",1,"normal",135,15,,,
"back and legs (rt315b)","14 May 2025, 13:55","14 May 2025, 14:41","","Romanian Deadlift (Barbell)",,"lower back rehab",2,"normal",135,12,,,
"back and legs (rt315b)","14 May 2025, 13:55","14 May 2025, 14:41","","Lat Pulldown - Close Grip (Cable)",,"",0,"normal",175,11,,,
"back and legs (rt315b)","14 May 2025, 13:55","14 May 2025, 14:41","","Lat Pulldown - Close Grip (Cable)",,"",1,"normal",175,7,,,
"back and legs (rt315b)","14 May 2025, 13:55","14 May 2025, 14:41","","Lat Pulldown - Close Grip (Cable)",,"",2,"normal",160,7,,,
"back and legs (rt315b)","14 May 2025, 13:55","14 May 2025, 14:41","","Chest Supported Incline Row (Dumbbell)",,"",0,"normal",80,15,,,
"back and legs (rt315b)","14 May 2025, 13:55","14 May 2025, 14:41","","Chest Supported Incline Row (Dumbbell)",,"",1,"normal",80,12,,,
"back and legs (rt315b)","14 May 2025, 13:55","14 May 2025, 14:41","","Chest Supported Incline Row (Dumbbell)",,"",2,"normal",80,13,,,
